(1, 1.2620248794555664)
(2, 1.6640136241912842)
(3, 1.3210268020629883)
(4, 1.3070096969604492)
(5, 1.0250048637390137)
(6, 0.576012134552002)
(7, 1.3699560165405273)
(8, 0.7460169792175293)
(9, 0.6290144920349121)
(10, 2.382521629333496)
(11, 1.7397208213806152)
(12, 0.9809825420379639)
(13, 0.7979822158813477)
(14, 0.9489924907684326)
(15, 0.315960168838501)
(16, 0.22199463844299316)
(17, 0.16902875900268555)
(18, 0.1959242820739746)
(19, 0.17101716995239258)
(20, 0.08301186561584473)
(21, 0.0378880500793457)
(22, 0.020994186401367188)
(23, 0.016977310180664062)
(24, 0.0110015869140625)
(25, 0.0030028820037841797)
(26, 0.008037090301513672)
(27, 0.001993894577026367)
(28, 0.0)
(29, 0.0)
(30, 0.0)
(31, 0.0010211467742919922)
