(1, 3.2604641914367676)
(2, 3.133009433746338)
(3, 2.802014112472534)
(4, 1.8340117931365967)
(5, 3.8687424659729004)
(6, 2.992107629776001)
(7, 3.4544572830200195)
(8, 2.480997323989868)
(9, 1.8550083637237549)
(10, 4.354976654052734)
(11, 2.4821386337280273)
(12, 1.7449696063995361)
(13, 1.0396137237548828)
(14, 0.8989965915679932)
(15, 0.9695243835449219)
(16, 0.47600364685058594)
(17, 0.6340253353118896)
(18, 0.18500924110412598)
(19, 0.1330108642578125)
(20, 0.08799052238464355)
(21, 0.05297446250915527)
(22, 0.030013322830200195)
(23, 0.01901102066040039)
(24, 0.009001731872558594)
(25, 0.006010532379150391)
(26, 0.00301361083984375)
(27, 0.0010058879852294922)
(28, 0.0010035037994384766)
(29, 0.0)
(30, 0.0)
(31, 0.0)
